1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
-189895.237,-195799.5686,-231319.0941,-229134.6849,-155962.8256,-152123.3609,-103872.4134,-151121.8532,-174150.6387,-267898.7705,-389346.3253,-527369.1615,-571116.0634,-859190.5904,-787353.943,-840222.8264,-776048.8522,-750520.3973,-737227.5858,-651224.3986,-599578.4028,-550554.1072,-449669.975,-435192.6515,-450133.7022,-437936.6753,-463866.7667,-540933.8592
-179640.8306,-199727.5777,-216264.7267,-255982.8852,-204278.9057,-141290.0691,-133570.199,-87868.19872,-121077.0996,-308974.7951,-379074.1136,-525522.8112,-649958.482,-677031.7903,-871216.5745,-777710.4317,-847569.6035,-785051.5828,-769382.7511,-702661.512,-648267.534,-558014.2745,-500535.3484,-414345.2634,-443053.7617,-465580.9086,-441164.1798,-466498.7864
-168816.2112,-203599.9492,-219614.4001,-238479.3765,-221735.635,-182850.6626,-122387.6995,-115668.7749,-73513.52289,-213677.9713,-437499.1673,-522710.3474,-633843.3814,-762356.8532,-682390.3914,-857616.8727,-787632.7093,-870171.6658,-787819.8426,-730289.0034,-678922.8864,-612264.3617,-515709.3483,-462724.3533,-417939.4843,-454829.37,-477835.401,-449886.165
-165495.5106,-190413.8565,-227011.2762,-245559.0477,-202409.203,-205750.7799,-162944.9928,-104544.0252,-96362.57097,-130241.5984,-328492.8584,-592571.0888,-651588.0989,-762480.6024,-787003.8523,-692789.5125,-861171.0693,-811234.1793,-883517.1266,-763747.4227,-699872.018,-647661.139,-566338.5505,-473874.0077,-480153.7652,-426820.8818,-472686.0674,-485334.2233
-142399.9682,-191571.1169,-204751.6616,-244041.1283,-218070.2772,-185441.8908,-172521.2628,-136863.7956,-84990.55217,-166258.5041,-179200.0669,-410855.8721,-734207.0901,-751992.859,-773159.3572,-780799.9434,-691552.7895,-882428.1051,-820304.2417,-832503.7801,-713493.7985,-655995.3009,-596745.5932,-524170.7286,-488571.6473,-484038.996,-434194.0873,-471851.0922
-150352.6486,-162962.3029,-213888.5282,-231352.2704,-222531.6471,-204730.2377,-165502.7385,-153170.5545,-115641.2622,-154163.5246,-230550.1982,-257479.9851,-568012.0312,-909649.3205,-786717.4145,-799540.2707,-814000.7684,-725971.9927,-905868.4417,-788875.945,-775341.2977,-659990.7043,-610295.9161,-538443.382,-522744.9038,-494764.9465,-487565.0811,-438801.335
-127501.9004,-152535.8312,-172803.2891,-222861.4084,-199132.5953,-196383.1925,-171185.6481,-137285.587,-123683.8307,-197316.8033,-205038.6559,-318323.667,-309342.6787,-654200.0657,-888784.7614,-765634.5541,-798033.8302,-817593.3174,-741873.4402,-841041.9244,-706263.2051,-717736.7695,-615048.8616,-558304.5599,-551064.6661,-530397.1983,-509840.9277,-492470.6311
-121445.4122,-159468.2665,-170381.0996,-194222.5375,-199632.4168,-183513.8636,-170478.558,-147958.4173,-113275.4376,-221640.7787,-269034.9017,-295072.5352,-396255.5811,-381333.1131,-671282.9688,-906632.9795,-794520.4081,-833651.0292,-841667.8556,-700197.2509,-765020.9386,-664766.4599,-669161.589,-561016.638,-567315.0809,-556819.2211,-538176.4873,-502063.835
-117116.8992,-135866.8296,-170289.1178,-184664.3884,-170402.1139,-183215.0699,-154250.403,-145924.7799,-119403.1088,-197551.332,-298275.2568,-383890.5706,-358851.9927,-457129.4888,-379880.216,-678750.408,-926569.4216,-808036.8473,-849642.6292,-787800,-604367.6684,-728131.0612,-613070.9277,-618326.4093,-572611.0995,-575348.0523,-570779.4505,-548128.7621
-107918.2468,-133129.4635,-143660.3639,-187640.9336,-166718.2442,-157762.0832,-158466.7553,-133564.7838,-120570.5784,-211019.9795,-272615.2239,-412745.1608,-461724.7942,-427460.6218,-474913.9229,-377843.4502,-694474.8436,-930352.5591,-820560.3124,-781691.4089,-679544.0714,-581518.4838,-666917.9626,-566687.3467,-628247.1679,-589552.486,-588645.6467,-583927.7913
